item_id,description,profit_margin_2023,profit_percent_total
937,catnip spray hierba gatera,0.0,0.0
1743,coastal luz para collar,0.0,0.0
1729,zeedog neopro green h-harness large,0.0,0.0
868,mebermic,0.0,0.0
875,hueso entretenido,0.0,0.0
1376,squeaky bounce ball large,0.0,0.0
1304,pro plan kitten pollo e higado lata 85 grs,0.0,0.0
174,pro plan adult cat 7+ 3kg ar,0.0,0.0
859,loft dog house,0.0,0.0
221,eukanuba adulto small breed 6.8 kg,0.0,0.0
54,afp lamb cuddle country animals,0.0,0.0
819,front range arnés naranjo,0.0,0.0
1188,brit care cat grain-free indoor anti-stress 7 kg,0.0,0.0
1657,royal can. vet cat  young male 1.5 kg.,0.0,0.0
1456,nutram sound kitten 1.13 kg,0.0,0.0
1018,brit care cat turkey pate with ham 70grs,0.0,0.0
1032,pro plan urinary cat 7,0.0,0.0
823,pro plan urinary cat carne y pollo lata 85 grs,0.0,0.0
1200,pro plan sterilized cat 3kg ar,0.0,0.0
1494,brit care gf puppy salmon 12 kg,0.0,0.0
1172,brit care cat kitten chicken 80 grs,0.0,0.0
83,proplan adulto dog pollo arroz  370grs,0.0,0.0
1395,bravery chicken puppy large/medium breeds 4 kg,0.0,0.0
1052,puzzle tornado nivel 2,0.0,0.0
667,nutrience original cat indoor 2,0.0,0.0
1600,pro plan feline veterinary diets ur,0.0,0.0
312,brit care cat indoor (monty) 2 kg,0.0,0.0
539,royal mini light 2.5kg,0.0,0.0
1323,royal can fhn light 40 7.5 kilo,0.0,0.0
1075,feline c/d multicare x lata 156 gr,0.0,0.0
1761,monge medium p&j chicken de 12 kg,0.0,0.0
1405,coastal sublime collar teal stripe s/m,0.0,0.0
605,capa impermeable azul,0.0,0.0
440,nath adulto maxi sabor pollo y arroz integral,0.0,0.0
1689,royal canin medium puppy pouch 140 gr,0.0,0.0
630,bravery chicken adult large/medium breeds 4 kg,0.0,0.0
1465,bravery light iberian pork adult large/medium breeds 12 kg,0.0,0.0
311,brit mono protein rabbit 400 gr,0.0,0.0
505,pro plan active mind 7+ med lrg 15kg ar,0.0,0.0
1511,nutram total grain free trout & salmon cat 1.13 kg,0.0,0.0
622,small round aluminum light blue  (my family),0.0,0.0
467,cama para perro negra zeedog,0.0,0.0
24,chaqueta chiporro verde ,0.0,0.0
579,brit care cat sterilised (missy)  2.0kg,0.0,0.0
66,royal can poodle puppy 3 kg,0.0,0.0
1128,bravery chicken adult cat,0.0,0.0
227,nutram total grain-free chicken & turkey cat food 1.13kg,0.0,0.0
222,simparica antiparasitario 80 mg,0.0,0.0
228,zeedog gotham leash extra small,0.0,0.0
1481,royal canin maxi puppy pouch 140 gr,0.0,0.0
1325,brit care gf puppy salmon 3 kg,0.0,0.0
1707,proplan adulto cat pollo y arroz 85gr,0.0,0.0
581,royal canin kitten sterilised 1.5 kg,0.0,0.0
442,vet diet urinary lp dog 2kg,0.0,0.0
1265,brit care gf senior & light salmon 12 kg,0.0,0.0
446,desparasitante bravecto para gatos,0.0,0.0
1711,royal recovery rs 145 grs. (lata),0.0,0.0
333,parka premium perro con chiporro,0.0,0.0
60,royal canin adulto maxi adult 15kg,0.0,0.0
92,proplan adulto cat alimento para gato,0.0,0.0
359,brit care cat grain-free sterilized sensitive 2 kg,0.0,0.0
364,plato gato doble redondo,0.0,0.0
724,nutrience orig kitten 2,0.0,0.0
899,"planet dog diamond plate double-tuff naranja ""s""",0.0,0.0
132,bravery iberian pork adult large/medium breeds 4 kg,0.0,0.0
983,royal can. hypoallergenic canine 2 kg.,0.0,0.0
248,comedero interactivo multi feeder,0.0,0.0
45,royal canin kitten 4 kg,0.0,0.0
1050,royal canin adulto mini adult 7,0.0,0.0
1053,siguimarina,0.0,0.0
72,royal can fhn kitten 36 400 grs,0.0,0.0
1240,poodle pouch 12x85g,0.0,0.0
318,royal can. vet cat senior s/o 1.5 kg.,0.0,0.0
238,royal canin mini adulto 2.5kg,0.0,0.0
1384,royal canin mini adulto  2 kg fr,0.0,0.0
12,brit care adult medium breed l&r 3 kg,0.0,0.0
258,pro plan gatos  esterilizados pollo pouch 85 gr,0.0,0.0
1625,royal can. vet cat young female 1.5 kg.,0.0,0.0
723,eukanuba adulto small breed 2,0.0,0.0
712,pro plan adult medium breed 15kg ar,0.0,0.0
1530,royal can. shn mini junior 1 kgr.,0.0,0.0
1139,royal canin feline hypoallergenic 1,0.0,0.0
569,pawise little monster rojo,0.0,0.0
1554,bravery iberian pork mini adult small breeds 7 kg,0.0,0.0
184,bravery chicken mini puppy small breeds 7 kg,0.0,0.0
271,pro plan feline veterinary diets nf advanced,0.0,0.0
